company_name,group,bord_bia_verified,claims_found,claim_specificity,claim_credibility,greenwash_signals,strengths,talk_score_v2,auditor_note
Flahavan's,Verified,True,"Sustainability is at the heart of everything we do at Flahavan’s | 70% of our company’s total energy requirements are self-generated on site through our wind turbine, water turbine and solar panels",8,9,,Specific measurable claim about renewable energy | Third-party verification implied by mention of on-site generation,8.0,"Flahavan's demonstrates strong commitment to sustainability through specific, measurable claims and on-site renewable energy generation."
Glenisk,Verified,True,Irish OrganicAssociation approved | Guaranteed Irish,2,6,no measurable targets | no third-party verification,Irish OrganicAssociation certification | Guaranteed Irish certification,4.0,"Glenisk makes some credible ESG claims, but lacks specificity and third-party verification."
Ballymaloe Foods,Verified,True,We regard our gender pay gap as an important issue | We are excited to announce that our team has gained Gold Membership status,2,4,no measurable targets | unverified certifications,publication of a gender pay gap report | third-party membership,4.0,"Ballymaloe Foods makes some effort to address ESG issues, but lacks specificity and credibility in their claims."
Keelings,Verified,True,We have reduced operational water requirements By 40% on our La Brisas farm by using drones. | We produce approximately 200 million strawberries each year. | Keelings ripen 2 million bananas each week in Ireland. | Over 35 million cucumbers are sold by Keelings in the UK annually.,8,6,It takes 13 months to produce a single pineapple. | Over 50 varieties of tomatoes are available from Keelings.,Specific measurable water reduction claim | Quantifiable production numbers,0.67,"Keelings demonstrates some commitment to sustainability through specific water reduction and production claims, but also exhibits greenwashing signals through vague statements and irrelevant claims."
Folláin,Verified,True,,0,0,website not accessible,,0.0,Website could not be accessed for analysis
Glenilen Farm,Verified,True,,0,0,website not accessible,,0.0,Website could not be accessed for analysis
Killowen Farm,Verified,True,,0,0,website not accessible,,0.0,Website could not be accessed for analysis
Sofrimar,Verified,True,Sustainability | highest standards of Sustainability,2,1,vague language | no measurable targets,40+ years of experience,2.0,"Lack of specific ESG claims and measurable targets, relies on vague language and reputation"
Regan Organic Produce,Verified,True,,0,0,website not accessible,,0.0,Website could not be accessed for analysis
Kilbeggan Organic Foods,Verified,True,,0,0,website not accessible,,0.0,Website could not be accessed for analysis
Connemara Organic Seaweeds,Verified,True,,0,0,website not accessible,,0.0,Website could not be accessed for analysis
Builin Blasta,Verified,True,,1,1,,clear display of food products,1.0,"No specific ESG claims found, but the company showcases its commitment to quality and Irish food heritage."
Durrus Cheese,Verified,True,sustainability | quality | enjoyment of the work we do every day,2,1,vague language | no measurable targets,family business | traditional techniques,2.0,"Company makes vague claims about sustainability and quality, but lacks specific evidence or targets to support these claims."
Clonakilty Food Co,Verified,True,,1,1,,,1.0,"No ESG claims found on the website, focus on business operations and customer services."
Country Crest,Verified,True,,0,0,website not accessible,,0.0,Website could not be accessed for analysis
Carbery,Verified,True,"We are pioneering the next generation of nutritional ingredients, natural cheese and flavour solutions. | Sustainability sits at the very heart of our business, ensuring our approach to our business and the communities in which we operate, are mutually beneficial. | Carbery Group again attains gold membership of Origin Green",6,8,no measurable targets | unverified certifications,pioneering next generation of nutritional ingredients | gold membership of Origin Green,0.8,"Carbery makes some specific and credible ESG claims, but lacks measurable targets and third-party verification for some of these claims."
Bread 41,Not Verified,False,"We use organic flour in all our breads, these grains are not only better tasting but more sustainable also. | Our organic flour is supplied by Shipton Mill where the wholemeal flours are milled on the banks of the local river. | We will also be stone milling ourselves onsite using a variety of ancient Irish grains where possible.",6,8,,Use of organic flour | Sourcing from local supplier (Shipton Mill) | On-site stone milling,0.8,"Bread 41 demonstrates a commitment to using organic and sustainable ingredients, with specific mention of sourcing from local suppliers and on-site stone milling."
Cloud Picker Coffee,Not Verified,False,"committed to quality, community, and sustainability | making a positive impact",2,2,vague language | no measurable targets,commitment to quality and community,4.0,"Company claims a commitment to sustainability and making a positive impact, but lacks specificity and measurable targets."
Cream of the Crop,Not Verified,False,,0,0,website not accessible,,0.0,Website could not be accessed for analysis
The Naked Collective,Not Verified,False,,0,0,website not accessible,,0.0,Website could not be accessed for analysis
Coffeeangel,Not Verified,False,5% OF PROFITS COMMITTED TO FUND LOCAL BIODIVERSITY,2,2,repetition of claim for emphasis | no measurable targets,commitment to biodiversity,4.0,"Company commits to funding local biodiversity, but lacks specific targets and measurable outcomes."
The Happy Pear,Not Verified,False,"nourish your body | tantalise your taste buds | healthier, happier you | nourish your body, mind, and soul | digestive health | gut health | heart health | ideal shape | menopause | sleep quality",2,3,vague language | no measurable targets | unverified certifications,focus on plant-based nutrition | emphasis on digestive health,4.5,"The Happy Pear makes some vague claims about nourishing the body and mind, but also highlights specific areas of focus such as digestive health and plant-based nutrition."
Fiid,Not Verified,False,,0,0,website not accessible,,0.0,Website could not be accessed for analysis
Wilde Irish Chocolates,Not Verified,False,,1,1,no ESG claims mentioned,,1.0,No ESG claims or sustainability information provided on the website.
Ballycotton Seafood,Not Verified,False,,1,1,no measurable targets | no evidence of sustainability practices,,0.0,No ESG claims or sustainability information found on the website.
GIY Ireland,Not Verified,False,"eat seasonal, organic food | grow some of their own food | make better everyday food choices | regenerative local food system | reconnecting to healthy, sustainable food | growing, cooking and eating better | make real, whole foods accessible | food empathy principles | changing how we eat and live | grow, cook and at some of their own food",6,4,vague language | no measurable targets | unverified certifications,emphasis on seasonal and organic food | focus on community engagement and education,0.6,"GIY Ireland makes some commendable efforts to promote sustainable food practices, but lacks specific, measurable targets and verifiable evidence to support their claims."
