company_name,sector,county,group,bord_bia_verified,claim_specificity,claim_credibility,llm_quality_score,claims_found,greenwash_signals,strengths,auditor_note,claim_sent_score,claim_pos,claim_neg,hybrid_talk_score
Flahavan's,Food,Waterford,Verified,True,8,9,8.5,"Sustainability is at the heart of everything we do at Flahavan’s | 70% of our company’s total energy requirements are self-generated on site through our wind turbine, water turbine and solar panels",,Specific energy generation data | Renewable energy sources,Flahavan's demonstrates a strong commitment to sustainability through specific and credible claims about their renewable energy generation.,5.23,0.0591,0.0126,7.19
Glenisk,Dairy,Offaly,Verified,True,2,6,4.0,Irish OrganicAssociation approved | Guaranteed Irish,vague language | no measurable targets,Irish OrganicAssociation certification | Guaranteed Irish certification,"Glenisk makes some credible ESG claims, but lacks specificity and measurable targets.",5.18,0.0538,0.0179,4.47
Ballymaloe Foods,Food,Cork,Verified,True,3,6,4.5,We regard our commitment to equality and diversity as a core value | We are excited to announce that our team has gained Gold Membership status for...,vague language | unverified certs,Gender Pay Gap Report 2025 | Gold Membership status,"Some specific claims, but lack of evidence and specificity in most claims",7.91,0.5919,0.0109,5.86
Keelings,Horticulture,Dublin,Verified,True,8,8,8.0,"We have reduced operational water requirements By 40% on our La Brisas farm by using drones. | We produce approximately 200 million strawberries each year. | Keelings ripen 2 million bananas each week in Ireland. | Over 35 million cucumbers are sold by Keelings in the UK annually. | We farm 3,000 acres across Ireland, Costa Rica, and Brazil.",It takes 13 months to produce a single pineapple.,Specific measurable water reduction target | Quantified strawberry production | Quantified banana ripening | Quantified cucumber sales | Transparent land ownership,"Keelings demonstrates a good level of transparency regarding their operations and sustainability efforts, with some specific and measurable targets, but more context and evidence would strengthen their claims.",5.16,0.151,0.1199,6.86
Folláin,Food,Cork,Verified,True,1,1,1.0,,,family business | local production,"No ESG claims found, but company emphasizes local production and family business",5.0,0.0,0.0,2.6
Glenilen Farm,Dairy,Cork,Verified,True,1,1,1.0,,website not accessible,,Website could not be accessed,5.0,0.0,0.0,2.6
Killowen Farm,Dairy,Wexford,Verified,True,1,1,1.0,,website not accessible,,Website could not be accessed,5.0,0.0,0.0,2.6
Sofrimar,Seafood,Wexford,Verified,True,2,1,1.5,sustainability | highest standards of Sustainability,vague language,,"Lack of specific ESG information, vague sustainability claims",5.32,0.0907,0.0261,3.03
Regan Organic Produce,Horticulture,Wexford,Verified,True,1,1,1.0,,website not accessible,,Website could not be accessed,5.0,0.0,0.0,2.6
Kilbeggan Organic Foods,Food,Westmeath,Verified,True,1,1,1.0,,website not accessible,,Website could not be accessed,5.0,0.0,0.0,2.6
