company_name,group,bord_bia_verified,claim_specificity,claim_credibility,talk_score_v2_fixed,greenwash_signals,auditor_note,walk_score,walk_positive,walk_negative,talk_norm,walk_norm,gap_score_v2,risk_level_v2
The Happy Pear,Not Verified,False,2,3,2.5,vague language | no measurable targets | unverified certifications,"The Happy Pear makes some vague claims about nourishing the body and mind, but also highlights specific areas of focus such as digestive health and plant-based nutrition.",4.3,0.0726,0.2116,2.94,0.0,1.0,🔴 HIGH RISK
Keelings,Verified,True,8,6,7.0,It takes 13 months to produce a single pineapple. | Over 50 varieties of tomatoes are available from Keelings.,"Keelings demonstrates some commitment to sustainability through specific water reduction and production claims, but also exhibits greenwashing signals through vague statements and irrelevant claims.",4.38,0.0753,0.1998,8.24,0.29,0.965,🔴 HIGH RISK
Flahavan's,Verified,True,8,9,8.5,,"Flahavan's demonstrates strong commitment to sustainability through specific, measurable claims and on-site renewable energy generation.",4.99,0.0672,0.069,10.0,2.5,0.75,🔴 HIGH RISK
GIY Ireland,Not Verified,False,6,4,5.0,vague language | no measurable targets | unverified certifications,"GIY Ireland makes some commendable efforts to promote sustainable food practices, but lacks specific, measurable targets and verifiable evidence to support their claims.",5.36,0.1013,0.0286,5.88,3.84,0.347,🟡 MEDIUM RISK
Bread 41,Not Verified,False,6,8,7.0,,"Bread 41 demonstrates a commitment to using organic and sustainable ingredients, with specific mention of sourcing from local suppliers and on-site stone milling.",5.91,0.2095,0.0279,8.24,5.83,0.292,🟡 MEDIUM RISK
Builin Blasta,Verified,True,1,1,1.0,,"No specific ESG claims found, but the company showcases its commitment to quality and Irish food heritage.",4.54,0.1229,0.214,1.18,0.87,0.263,🟡 MEDIUM RISK
Carbery,Verified,True,6,8,7.0,no measurable targets | unverified certifications,"Carbery makes some specific and credible ESG claims, but lacks measurable targets and third-party verification for some of these claims.",6.21,0.2802,0.0384,8.24,6.92,0.16,🟢 LOW RISK
Glenisk,Verified,True,2,6,4.0,no measurable targets | no third-party verification,"Glenisk makes some credible ESG claims, but lacks specificity and third-party verification.",5.55,0.2014,0.0906,4.71,4.53,0.038,✅ CREDIBLE
Ballycotton Seafood,Not Verified,False,1,1,1.0,no measurable targets | no evidence of sustainability practices,No ESG claims or sustainability information found on the website.,5.88,0.1985,0.022,1.18,5.72,0.0,✅ CREDIBLE
Wilde Irish Chocolates,Not Verified,False,1,1,1.0,no ESG claims mentioned,No ESG claims or sustainability information provided on the website.,5.51,0.1241,0.0222,1.18,4.38,0.0,✅ CREDIBLE
Fiid,Not Verified,False,0,0,0.0,website not accessible,Website could not be accessed for analysis,5.92,0.2204,0.0372,0.0,5.87,0.0,✅ CREDIBLE
Ballymaloe Foods,Verified,True,2,4,3.0,no measurable targets | unverified certifications,"Ballymaloe Foods makes some effort to address ESG issues, but lacks specificity and credibility in their claims.",5.48,0.1197,0.0229,3.53,4.28,0.0,✅ CREDIBLE
Coffeeangel,Not Verified,False,2,2,2.0,repetition of claim for emphasis | no measurable targets,"Company commits to funding local biodiversity, but lacks specific targets and measurable outcomes.",5.48,0.1312,0.0351,2.35,4.28,0.0,✅ CREDIBLE
The Naked Collective,Not Verified,False,0,0,0.0,website not accessible,Website could not be accessed for analysis,5.63,0.1485,0.0227,0.0,4.82,0.0,✅ CREDIBLE
Cream of the Crop,Not Verified,False,0,0,0.0,website not accessible,Website could not be accessed for analysis,5.35,0.1,0.0296,0.0,3.8,0.0,✅ CREDIBLE
Cloud Picker Coffee,Not Verified,False,2,2,2.0,vague language | no measurable targets,"Company claims a commitment to sustainability and making a positive impact, but lacks specificity and measurable targets.",5.4,0.1049,0.0254,2.35,3.99,0.0,✅ CREDIBLE
Folláin,Verified,True,0,0,0.0,website not accessible,Website could not be accessed for analysis,5.5,0.1263,0.0269,0.0,4.35,0.0,✅ CREDIBLE
Glenilen Farm,Verified,True,0,0,0.0,website not accessible,Website could not be accessed for analysis,7.06,0.4579,0.0461,0.0,10.0,0.0,✅ CREDIBLE
Country Crest,Verified,True,0,0,0.0,website not accessible,Website could not be accessed for analysis,5.73,0.26,0.1137,0.0,5.18,0.0,✅ CREDIBLE
Durrus Cheese,Verified,True,2,1,1.5,vague language | no measurable targets,"Company makes vague claims about sustainability and quality, but lacks specific evidence or targets to support these claims.",5.62,0.1468,0.0226,1.76,4.78,0.0,✅ CREDIBLE
Connemara Organic Seaweeds,Verified,True,0,0,0.0,website not accessible,Website could not be accessed for analysis,5.6,0.1415,0.0212,0.0,4.71,0.0,✅ CREDIBLE
Kilbeggan Organic Foods,Verified,True,0,0,0.0,website not accessible,Website could not be accessed for analysis,5.6,0.1421,0.0218,0.0,4.71,0.0,✅ CREDIBLE
Regan Organic Produce,Verified,True,0,0,0.0,website not accessible,Website could not be accessed for analysis,5.62,0.1471,0.0227,0.0,4.78,0.0,✅ CREDIBLE
Sofrimar,Verified,True,2,1,1.5,vague language | no measurable targets,"Lack of specific ESG claims and measurable targets, relies on vague language and reputation",6.35,0.2908,0.0198,1.76,7.43,0.0,✅ CREDIBLE
Killowen Farm,Verified,True,0,0,0.0,website not accessible,Website could not be accessed for analysis,6.18,0.2591,0.0227,0.0,6.81,0.0,✅ CREDIBLE
Clonakilty Food Co,Verified,True,1,1,1.0,,"No ESG claims found on the website, focus on business operations and customer services.",5.17,0.0592,0.0253,1.18,3.15,0.0,✅ CREDIBLE
